date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:43	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2016:10:43%20GMT	http://122.237.100.193/robots.txt		(from )
17:10:43	87537/87537	---MCZ	200	added ('OK')	text/html	etag:W/%2263310aff-155f1%22	http://122.237.100.193/	C:/Mes%20Sites%20Web/load/122.237.100.193/index.html	(from )
17:10:48	99106/99106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b5207-18322%22	http://122.237.100.193/js/UA-106860120-1.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/UA-106860120-1.js	(from http://122.237.100.193/)
17:10:48	83103/83103	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f2-1449f%22	http://122.237.100.193/js/jquery2.0.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/jquery2.0.min.js	(from http://122.237.100.193/)
17:10:49	11032/11032	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b485e-2b18%22	http://122.237.100.193/node_modules/p2p-media-loader-shaka/build/p2p-media-loader-shaka.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/node_modules/p2p-media-loader-shaka/build/p2p-media-loader-shaka.min.js	(from http://122.237.100.193/)
17:10:50	26815/26815	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b485f-68bf%22	http://122.237.100.193/node_modules/p2p-media-loader-hlsjs/build/p2p-media-loader-hlsjs.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/node_modules/p2p-media-loader-hlsjs/build/p2p-media-loader-hlsjs.min.js	(from http://122.237.100.193/)
17:10:51	143695/143695	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b4860-2314f%22	http://122.237.100.193/node_modules/p2p-media-loader-core/build/p2p-media-loader-core.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/node_modules/p2p-media-loader-core/build/p2p-media-loader-core.min.js	(from http://122.237.100.193/)
17:10:52	6009/6009	---MCZ	200	added ('OK')	text/css	etag:W/%22620b48f1-1779%22	http://122.237.100.193/js/rickshaw.min.css	C:/Mes%20Sites%20Web/load/122.237.100.193/js/rickshaw.min.css	(from http://122.237.100.193/)
17:10:53	6528/6528	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f2-1980%22	http://122.237.100.193/js/current-device.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/current-device.min.js	(from http://122.237.100.193/)
17:10:54	80692/80692	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620b48f1-13b34%22	http://122.237.100.193/js/rickshaw.min.js	C:/Mes%20Sites%20Web/load/122.237.100.193/js/rickshaw.min.js	(from http://122.237.100.193/)
